code,water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,distance_to_settlement,establishing_agency,date_source_established,latitude,longitude,gps_precision,permanent,functioning,reason_for_non_functioning,last_intervention_agency,last_intervention_description,last_intervention_date
BKHRBE032,Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,,4.8271,45.5504,,,Yes,,,,
DMTGBC014,Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Balli Dhiig 1,Bali Dhiig,,,,8.3738,45.9116,,,,,,,
DMTGBC017,Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Warta Nasiye,Nasiye,,,,8.7429,45.6311,,,No,,,,
DWMDHO018,Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Toro,Toro,,,,6.021,47.7931,,,,,,,
BHBRQR024,Borehole,SWALIM_WSIS,2008-06-03,Bari,Qardho,Yako,Yako,,,,9.2204,49.1246,,No,No,,,,
DWGDDO012,Dug Well,SWALIM_WSIS,2009-09-30,Gedo,Doolow,Lugadiima,Dogob,,,,3.8,42.2,,Yes,Yes,,,,
DWBRBA004,Dug Well,SWALIM_WSIS,2008-07-14,Bari,Bandar Beyla,Bixin,Dur Dura,,,,9.0877,50.4305,,Yes,Yes,,,,
SPNGEY015,Spring,SWALIM_WSIS,2008-07-19,Nugaal,Eyl,Gabac,Ladege,,,,8.1565,50.0373,,Yes,Yes,,,,
DMGDBA022,Dam,SWALIM_WSIS,2009-10-30,Gedo,Baardheere,Kurtumaley,Kurtumaley,,,,2.395,42.204,,Yes,Yes,,,,
SPBRIS016,Spring,SWALIM_WSIS,2008-06-18,Bari,Iskushuban,Xeela,,,,,11.3713,51.0397,,,,,,,
SPTGSH017,Spring,SWALIM_WSIS,2008-06-19,Togdheer,Sheikh,Iskudarka Spring,Biyooley,,,,10.1108,45.2775,,,,,,,
DWGLCH061,Dug Well,SWALIM_WSIS,2009-08-13,Galgaduud,Ceel Dheer,Bilaal,,,,,3.9311,47.4276,,,,,,,
DWMDGD008,Dug Well,SWALIM_WSIS,2008-07-22,Mudug,Galdogob,Nimco Farm,Hermo,,,,7.192,47.5281,,Yes,Yes,,,,
BHMDGK035,Borehole,SWALIM_WSIS,2008-07-27,Mudug,Galkacyo,Yamayska,,,,,6.7962,47.4238,,No,No,,,,
DMWGHA046,Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Balligubadle 1,,,,,9.0128,44.003,,,,,,,
DWGLCH032,Dug Well,SWALIM_WSIS,2009-08-18,Galgaduud,Ceel Dheer,Ceel Xaji Maxud,,,,,3.8411,47.182,,,Yes,,,,
DMGLDH006,Dam,COOPI,2012-12-18,Galgaduud,Dhusa Marreb,Toon,Labiley,,,,5.1185,45.8261,,Yes,Yes,,,,
DWMDHO057,Dug Well,SWALIM_WSIS,2009-07-29,Mudug,Hobyo,Laascagey,Dhidhin,,,,6.0122,48.1183,,,Yes,,,,
DWAWBO051,Dug Well,SWALIM_WSIS,2008-05-27,Awdal,Borama,Camuud 2,Boorame,,,,9.9484,43.2329,,Yes,Yes,,,,
DWSLXU041,Dug Well,SWALIM_WSIS,2008-05-27,Sool,Xudun,Siiga dheer,Xerta xangery,,,,9.1603,47.6192,,Yes,Yes,,,,
SPBRBO011,Spring,SWALIM_WSIS,2008-05-31,Bari,Bossaso,Mirqanle 1,Laag,,,,11.0667,49.1306,,Yes,Yes,,,,
SPAWZE008,Spring,SWALIM_WSIS,2008-05-16,Awdal,Zeylac,Khadar Iyoiiyaas,Jidhi Town,,,,10.573,42.9941,,Yes,Yes,,,,
BKNGBU001,Berkad,BRCiS,2017-06-01,Nugaal,Burtinle,Hasbahale,Hasbahale,,,,7.9638,49.1543,,,,,,,
BKGLCU002,Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Bur,Celbur BE,celbur,,,,4.6821,46.6185,,,,,,,
DWGLCH065,Dug Well,SWALIM_WSIS,2009-08-12,Galgaduud,Ceel Dheer,Ceel Qororoe,Ceel Dhooble,,,,3.9947,47.4607,,,,,,,
DMWGHA028,Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Kuul,Magaalo Kuul,,,,9.3855,43.6586,,No,Yes,,,,
SPBRBO040,Spring,SWALIM_WSIS,2008-05-27,Bari,Bossaso,Conqore 1,Bosaso,,,,11.2095,49.2063,,Yes,Yes,,,,
BKHRBE021,Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,Bacda hose,Bacda hose,,,,5.1187,45.3887,,,,,,,
DMAWBO013,Dam,SWALIM_WSIS,2008-06-18,Awdal,Borama,Cali Cumer,Dila Town,,,,9.7737,43.3444,,No,Yes,,,,
SPTGSH009,Spring,SWALIM_WSIS,2008-05-13,Togdheer,Sheikh,Bixin Dule 2,Geel Lokoi,,,,10.1653,45.1052,,Yes,Yes,,,,
BKSNCL004,Berkad,BRCiS,2017-06-01,Sanaag,Ceel Afweyn,Fadhigaab,Fadhigaab,,,,9.6674,47.0137,,,,,,,
BKTGBC048,Berkad,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Wisil Berkad SRC,Wisil Village,,,,9.5466,45.4005,,,,,,,
,Borehole,FGS Ministry of Energy and Water Resources,,Bay,Baydhaba,Aliyow Mareyle,Bulo Barako,,,,2.9349,43.3323,,,Yes,,1/16/2004,,
DWGLCH043,Dug Well,SWALIM_WSIS,2009-08-06,Galgaduud,Ceel Dheer,Jeex Dheer,Ceel Dheer,,,,3.8106,47.2501,,,,,,,
DWBYBA034,Dug Well,SWALIM_WSIS,2009-08-26,Bay,Baydhaba,Ceel Busley,Bardale,,,,3.1169,43.6585,,Yes,Yes,,,,
SPTGSH015,Spring,SWALIM_WSIS,2008-05-17,Togdheer,Sheikh,Dhadhen Spring,,,,,9.9439,45.1906,,,,,,,
DWBKXU017,Dug Well,BRCiS,2017-06-01,Bakool,Xudur,Buulow/ Hudur,Buulow/ Hudur,,,,4.128,43.8885,,,,,,,
DMBYBA004,Dam,SWALIM_WSIS,2009-08-12,Bay,Baydhaba,Haween,Gumurow,,,,3.2514,43.5414,,,,,,,
DWSLCA029,Dug Well,SWALIM_WSIS,2008-05-17,Sool,Caynabo,Badweyne 2,,,,,8.9963,46.6549,,Yes,Yes,,,,
BHWGBE002,Borehole,SWALIM Archives,1983-03-04,Woqooyi Galbeed,Berbera,WHN (test well),,,,,10.1819,44.4361,,,,,,,
SPNGGA003,Spring,SWALIM_WSIS,2008-07-19,Nugaal,Garoowe,Lasodawoco,Garowe,,,,8.2641,48.3499,,Yes,Yes,,,,
BKGLCH002,Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Dheer,Bargaan BE,Bargaan,,,,4.3661,47.0514,,,,,,,
DMBYBU002,Dam,SWALIM_WSIS,2009-08-22,Bay,Bur Hakaba,Golole,Golole,,,,2.8728,44.0181,,Yes,Yes,,,,
DWMDHO003,Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Qaydaro,Qaydaro,,,,5.7962,47.4883,,,,,,,
DWMDHO043,Dug Well,SWALIM_WSIS,2009-07-22,Mudug,Hobyo,Dhurre 1,Jalable,,,,6.368,47.9509,,,Yes,,,,
DWSLTA039,Dug Well,SWALIM_WSIS,2008-06-03,Sool,Taleex,Kubo 4,,,,,9.5022,49.0603,,,,,,,
DMBYDI010,Dam,SWALIM_WSIS,2009-10-15,Bay,Diinsoor,Sheikh Idiris,Balannaal,,,,2.5208,42.681,,,,,,,
DWAWBA053,Dug Well,SWALIM_WSIS,2008-05-30,Awdal,Baki,Ruqi Dug Well,Ruqi  Town,,,,9.9737,43.4266,,,Abandoned,,,,
SPBRBA028,Spring,SWALIM_WSIS,2008-07-12,Bari,Bandar Beyla,Kulule,Kulule,,,,9.1574,50.6463,,Yes,Yes,,,,
DWWGBE033,Dug Well,SWALIM_WSIS,2008-06-14,Woqooyi Galbeed,Berbera,Lascudle Dug Well 2,Lascudle,,,,10.1669,45.989,,Yes,Yes,,,,
DWBRBO027,Dug Well,SWALIM_WSIS,2008-05-29,Bari,Bossaso,Ahmed,,,,,11.282,49.1745,,Yes,Yes,,,,
SPBRIS017,Spring,SWALIM_WSIS,2008-06-17,Bari,Iskushuban,Yaguudaan,Xeelo,,,,11.4457,51.0478,,Yes,Yes,,,,
DWBRCA008,Dug Well,SWALIM_WSIS,2008-06-10,Bari,Caluula,Afkaleheye,,,,,11.9042,50.5933,,Yes,Yes,,,,
