water_source_type,inspecting_agency,inspection_date,region,district,source_name,nearest_settlement_name,establishing_agency,date_source_established,latitude,longitude,permanent,functioning,reason_for_non_functioning,management_type,wsc_date_of_establishment,cost_of_water_for_humans,name_of_operator,operator_contact_number,last_intervention_description,last_intervention_date
Berkad,SWALIM Archives,2005-02-22,Hiraan,Belet Weyne,,,,,4.8271,45.5504,,Yes,,,,,,,,
Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Balli Dhiig 1,Bali Dhiig,,,8.3738,45.9116,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-21,Togdheer,Burco,Warta Nasiye,Nasiye,,,8.7429,45.6311,,No,,,,,,,,
Dug Well,BRCiS,2017-06-01,Mudug,Hobyo,Toro,Toro,,,6.021,47.7931,,,,,,,,,,
Borehole,SWALIM_WSIS,2008-06-03,Bari,Qardho,Yako,Yako,,,9.2204,49.1246,No,No,,Private,,,,,,
Dug Well,SWALIM_WSIS,2009-09-30,Gedo,Doolow,Lugadiima,Dogob,,,3.8,42.2,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-14,Bari,Bandar Beyla,Bixin,Dur Dura,,,9.0877,50.4305,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-07-19,Nugaal,Eyl,Gabac,Ladege,,,8.1565,50.0373,Yes,Yes,,,,,,,,
Dam,SWALIM_WSIS,2009-10-30,Gedo,Baardheere,Kurtumaley,Kurtumaley,,,2.395,42.204,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-06-18,Bari,Iskushuban,Xeela,,,,11.3713,51.0397,,,,,,,,,,
Spring,SWALIM_WSIS,2008-06-19,Togdheer,Sheikh,Iskudarka Spring,Biyooley,,,10.1108,45.2775,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-13,Galgaduud,Ceel Dheer,Bilaal,,,,3.9311,47.4276,,,,,,,,,,
Dug Well,SWALIM_WSIS,2008-07-22,Mudug,Galdogob,Nimco Farm,Hermo,,,7.192,47.5281,Yes,Yes,,,,,,,,
Borehole,SWALIM_WSIS,2008-07-27,Mudug,Galkacyo,Yamayska,,,,6.7962,47.4238,No,No,,,,,,,,
Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Balligubadle 1,,,,9.0128,44.003,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-18,Galgaduud,Ceel Dheer,Ceel Xaji Maxud,,,,3.8411,47.182,,Yes,,,,,,,,
Dam,COOPI,2012-12-18,Galgaduud,Dhusa Marreb,Toon,Labiley,,,5.1185,45.8261,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2009-07-29,Mudug,Hobyo,Laascagey,Dhidhin,,,6.0122,48.1183,,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-27,Awdal,Borama,Camuud 2,Boorame,,,9.9484,43.2329,Yes,Yes,,,,,,,,
Dug Well,SWALIM_WSIS,2008-05-27,Sool,Xudun,Siiga dheer,Xerta xangery,,,9.1603,47.6192,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-31,Bari,Bossaso,Mirqanle 1,Laag,,,11.0667,49.1306,Yes,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-16,Awdal,Zeylac,Khadar Iyoiiyaas,Jidhi Town,,,10.573,42.9941,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Nugaal,Burtinle,Hasbahale,Hasbahale,,,7.9638,49.1543,,,,,,,,,,
Berkad,GSA/SWALIM,2016-02-28,Galgaduud,Ceel Bur,Celbur BE,celbur,,,4.6821,46.6185,,,,,,,,,,
Dug Well,SWALIM_WSIS,2009-08-12,Galgaduud,Ceel Dheer,Ceel Qororoe,Ceel Dhooble,,,3.9947,47.4607,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-23,Woqooyi Galbeed,Hargeisa,Kuul,Magaalo Kuul,,,9.3855,43.6586,No,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-27,Bari,Bossaso,Conqore 1,Bosaso,,,11.2095,49.2063,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Hiraan,Belet Weyne,Bacda hose,Bacda hose,,,5.1187,45.3887,,,,,,,,,,
Dam,SWALIM_WSIS,2008-06-18,Awdal,Borama,Cali Cumer,Dila Town,,,9.7737,43.3444,No,Yes,,,,,,,,
Spring,SWALIM_WSIS,2008-05-13,Togdheer,Sheikh,Bixin Dule 2,Geel Lokoi,,,10.1653,45.1052,Yes,Yes,,,,,,,,
Berkad,BRCiS,2017-06-01,Sanaag,Ceel Afweyn,Fadhigaab,Fadhigaab,,,9.6674,47.0137,,,,,,,,,,
Berkad,SWALIM_WSIS,2008-06-20,Togdheer,Burco,Wisil Berkad SRC,Wisil Village,,,9.5466,45.4005,,,,,,,,,,
